"","Código","Companhia","Número.Processos","Ano"
"1",69,"Cyrela",1,"2010"
"2",197,"Sanepar",1,"2010"
"3",160,"Tele Norte Leste Participações",1,"2010"
"4",192,"Clarion",1,"2010"
"5",565,"Petrobras",1,"2010"
"6",250,"Gol",1,"2011"
"7",9,"Tecnosolo",1,"2011"
"8",613,"Construtora Beter",1,"2012"
"9",646,"Kepler Weber",1,"2013"
"10",320,"Camargo Correa",1,"2013"
"11",621,"Aço Altona",1,"2013"
"12",626,"Carlos Renaux",1,"2013"
"13",261,"Brasmotor",1,"2013"
"14",17,"Banestes",1,"2014"
"15",475,"Banco BTG Pactual",1,"2014"
"16",9,"Tecnosolo",1,"2014"
"17",1,"Banco do Brasil",1,"2014"
"18",565,"Petrobras",1,"2014"
"19",31,"Itau",1,"2014"
"20",197,"Sanepar",1,"2014"
"21",405,"Renova Energia",1,"2015"
"22",299,"CCX",3,"2015"
"23",191,"Ultrapar",1,"2015"
"24",565,"Petrobras",2,"2015"
"25",621,"Electro Aço Altona",1,"2015"
"26",475,"Banco BTG Pactual",1,"2015"
"27",258,"Bradesco",1,"2015"
"28",66,"Wiest",1,"2015"
"29",192,"Clarion",1,"2015"
"30",197,"Sanepar",1,"2015"
"31",1,"Banco do Brasil",1,"2016"
"32",7,"WLM Indústria e Comércio",1,"2016"
"33",192,"Clarion",1,"2016"
"34",588,"Docas de Imbituba",1,"2016"
"35",304,"Brookfield incorporações",1,"2016"
"36",299,"CCX",2,"2016"
"37",388,"OSX",1,"2017"
"38",202,"Participações Aliança da Bahia",1,"2017"
"39",487,"Unicasa Indústria de Móveis",1,"2017"
"40",632,"Forjas Taurus",1,"2017"
"41",565,"Petrobras",2,"2017"
"42",258,"Bradesco",1,"2017"
