"","Código","Companhia","Ano","Dummy"
"1",1,"BANCO DO BRASIL S.A.","2017",1
"2",1,"BANCO DO BRASIL S.A.","2016",1
"3",1,"BANCO DO BRASIL S.A.","2015",1
"4",1,"BANCO DO BRASIL S.A.","2014",1
"5",1,"BANCO DO BRASIL S.A.","2013",1
"6",1,"BANCO DO BRASIL S.A.","2012",1
"7",1,"BANCO DO BRASIL S.A.","2011",1
"8",1,"BANCO DO BRASIL S.A.","2010",1
"9",2,"ALPARGATAS SA","2017",0
"10",2,"ALPARGATAS SA","2016",0
"11",2,"ALPARGATAS SA","2015",0
"12",2,"ALPARGATAS SA","2014",0
"13",2,"ALPARGATAS SA","2013",0
"14",2,"ALPARGATAS SA","2012",0
"15",2,"ALPARGATAS SA","2011",0
"16",2,"ALPARGATAS SA","2010",0
"17",3,"SARAIVA SA LIVREIROS EDITORES","2017",0
"18",3,"SARAIVA SA LIVREIROS EDITORES","2016",0
"19",3,"SARAIVA SA LIVREIROS EDITORES","2015",0
"20",3,"SARAIVA SA LIVREIROS EDITORES","2014",0
"21",3,"SARAIVA SA LIVREIROS EDITORES","2013",0
"22",3,"SARAIVA SA LIVREIROS EDITORES","2012",0
"23",3,"SARAIVA SA LIVREIROS EDITORES","2011",0
"24",3,"SARAIVA SA LIVREIROS EDITORES","2010",0
"25",4,"SERGEN SERVS GERAIS DE ENG SA","2010",0
"26",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2017",0
"27",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2016",0
"28",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2015",0
"29",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2014",0
"30",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2013",0
"31",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2012",0
"32",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2011",0
"33",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2010",0
"34",6,"SPRINGER SA","2017",0
"35",6,"SPRINGER SA","2016",0
"36",6,"SPRINGER SA","2015",0
"37",6,"SPRINGER SA","2014",0
"38",6,"SPRINGER SA","2013",0
"39",6,"SPRINGER SA","2012",0
"40",6,"SPRINGER SA","2011",0
"41",6,"SPRINGER SA","2010",0
"42",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017",0
"43",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016",0
"44",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015",0
"45",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014",0
"46",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013",0
"47",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012",0
"48",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011",0
"49",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010",0
"50",8,"BANCO DO ESTADO DE SERGIPE SA","2017",0
"51",8,"BANCO DO ESTADO DE SERGIPE SA","2016",0
"52",8,"BANCO DO ESTADO DE SERGIPE SA","2015",0
"53",8,"BANCO DO ESTADO DE SERGIPE SA","2014",0
"54",8,"BANCO DO ESTADO DE SERGIPE SA","2013",0
"55",8,"BANCO DO ESTADO DE SERGIPE SA","2012",0
"56",8,"BANCO DO ESTADO DE SERGIPE SA","2011",0
"57",8,"BANCO DO ESTADO DE SERGIPE SA","2010",0
"58",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2017",0
"59",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2016",0
"60",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2015",0
"61",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2014",0
"62",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2013",0
"63",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2012",0
"64",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2011",0
"65",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2010",0
"66",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2016",0
"67",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2015",0
"68",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2014",0
"69",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2013",0
"70",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2012",0
"71",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2011",0
"72",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2010",0
"73",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2017",0
"74",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2016",0
"75",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2015",0
"76",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2014",0
