"","Código","Companhia","Ano","Valor.Ativo"
"1",117,"521 Particip",2010,15.1080863719603
"2",114,"524 Particip",2010,6.8596149036542
"3",358,"Abc Brasil",2010,16.0996147258289
"6",235,"AES Elpa",2010,16.3286477820111
"7",185,"AES Tiete",2010,15.2531465873017
"9",177,"Aetatis Sec",2010,9.26520727341702
"10",296,"Afluente",2010,10.8270120574722
"13",439,"Afluente T",2010,11.3501359106216
"14",679,"Alfa Holding",2010,13.3211552180145
"17",367,"Algar Telecom S/A",2010,14.3846182973142
"19",386,"Aliansce",2010,14.5928026360844
"20",36,"Aliperti",2010,12.3233222055804
"22",351,"Allis Part",2010,12.1263798766209
"23",2,"Alpargatas",2010,14.6249298555399
"25",175,"Altere Sec",2010,7.5595594960077
"26",395,"Alupar",2010,15.5506677527958
"29",379,"Amil",2010,15.3347790939917
"30",583,"Ampla Energ",2010,15.2772847712087
"31",301,"Ampla Invest",2010,15.0441473891062
"32",210,"Anhanguera",2010,14.8902453683964
"35",509,"Anima",2010,NA
"36",267,"Arteris",2010,15.3885908706215
"37",454,"Autometal",2010,14.230293453678
"38",23,"Azevedo",2010,11.9417685007109
"40",554,"Azul S.A.",2010,NA
"41",403,"B3",2010,16.9349626539744
"42",640,"Bahema",2010,11.4398707840643
"44",572,"Banco Inter",2010,NA
"47",381,"Banco Pan",2010,16.3937962058432
"50",300,"Bandeirantes",2010,NA
"51",17,"Banestes",2010,16.065769929064
"53",89,"Bardella",2010,13.7789046631918
"55",99,"Battistella",2010,13.3015132430326
"57",101,"Baumer",2010,11.3688818693863
"59",113,"Belapart",2010,8.07464907506665
"62",336,"Bematech",2010,13.1621454714154
"63",630,"Bemge",2010,NA
"65",166,"Beta",2010,NA
"66",265,"Beta Securitizadora S/A",2010,10.9484353166185
"67",166,"Betapart",2010,9.72184576464693
"68",355,"BHG",2010,13.5940406054021
"69",234,"Biomm",2010,8.4984180360899
"71",490,"Biosev",2010,NA
"72",566,"Bk Brasil",2010,NA
"73",26,"Bombril",2010,13.4163097878558
"75",126,"Bonaire Part",2010,14.0042589185417
"76",535,"BR Home",2010,NA
"77",441,"BR Insurance",2010,12.7772499126809
"78",276,"BR Malls Par",2010,16.1735083140841
"79",278,"BR Propert",2010,15.4457772376994
"80",258,"Bradesco",2010,20.2730408817688
"85",204,"Bradespar",2010,16.4744581861025
"87",1,"Brasil",2010,20.5139909298593
"89",287,"Brasilagro",2010,13.4777793291449
"91",616,"Braskem",2010,17.3558172342908
"98",261,"Brasmotor",2010,13.5407920936644
"100",205,"Brazilian Securities Cia Sec",2010,13.2848138045559
"101",215,"Brookfield",2010,15.8218399968325
"102",542,"Brq",2010,NA
"103",312,"Buettner",2010,12.6486986545265
"105",221,"Cabinda Part",2010,1.94591014905531
"106",582,"Cacique",2010,13.1678031734484
"108",222,"Caconde Part",2010,1.79175946922805
"109",219,"Caianda Part",2010,1.6094379124341
"110",363,"Cambuci",2010,12.0937266771986
"112",559,"Camil",2010,NA
"113",153,"Capitalpart",2010,4.81962812635365
"114",138,"Casan",2010,14.3588906865456
"116",68,"Ceb",2010,14.5668955140881
"119",585,"Cedro",2010,13.3103206901169
"122",390,"Celg",2010,NA
"125",183,"Celpa",2010,15.2551672340716
"129",65,"Celpe",2010,15.1184817323515
"132",128,"Cemar",2010,14.8478434332431
"135",51,"Cemepe",2010,6.65027904858742
"137",203,"Cemig",2010,17.3287212959817
"142",203,"Cemig Telecomunicações S/A",2010,12.7863394402819
"143",581,"Cesp",2010,16.7538257724678
"146",416,"Cetip",2010,14.7598144321434
"147",580,"Chiarelli",2010,9.98566643849377
"149",78,"Cia Hering",2010,13.7020092177533
"151",411,"Cielo",2010,15.1429584341948
"152",80,"Cims",2010,-0.404965233066513
"154",545,"Cinesystem",2010,NA
"155",192,"Clarion",2010,14.0043864216177
"157",218,"Coari Part",2010,17.5368017069682
"159",606,"Cobrasma",2010,12.0735179186695
"161",83,"Coelce",2010,14.939118827836
"164",196,"Company",2010,14.6132132302372
"165",314,"Concessionaria Ecovias Dos Imigrantes SA",2010,13.909897584521
"166",608,"Confab",2010,14.3922480718648
"168",269,"Cosan",2010,16.7115976190227
"169",525,"Cosan Log",2010,NA
"170",587,"Coteminas",2010,15.0168818813712
"172",200,"CPFL Energia",2010,16.8140790556295
"175",334,"Cr2",2010,13.6098949900807
