"","Codigo","Companhia","Ano","Management.Council","Statutory.Directors","Fiscal.Council"
"1",1,"BANCO DO BRASIL S.A.","2017",0,0,0
"2",1,"BANCO DO BRASIL S.A.","2016",0,0,0
"3",1,"BANCO DO BRASIL S.A.","2015",0,0,0
"4",1,"BANCO DO BRASIL S.A.","2014",0,0,0
"5",1,"BANCO DO BRASIL S.A.","2013",0,0,0
"6",1,"BANCO DO BRASIL S.A.","2012",0,0,0
"7",1,"BANCO DO BRASIL S.A.","2011",0,0,0
"8",1,"BANCO DO BRASIL S.A.","2010",0,40.32,0
"9",2,"ALPARGATAS SA","2017",0,10.79,0
"10",2,"ALPARGATAS SA","2016",0,37.67,0
"11",2,"ALPARGATAS SA","2015",0,48.43,0
"12",2,"ALPARGATAS SA","2014",0,52.02,0
"13",2,"ALPARGATAS SA","2013",0,31.78,0
"14",2,"ALPARGATAS SA","2012",0,26.53,0
"15",2,"ALPARGATAS SA","2011",0,30.51,0
"16",2,"ALPARGATAS SA","2010",0,37.23,0
"17",3,"SARAIVA SA LIVREIROS EDITORES","2017",0,0,0
"18",3,"SARAIVA SA LIVREIROS EDITORES","2016",0,0,0
"19",3,"SARAIVA SA LIVREIROS EDITORES","2015",0,61.85,0
"20",3,"SARAIVA SA LIVREIROS EDITORES","2014",0,54.37,0
"21",3,"SARAIVA SA LIVREIROS EDITORES","2013",0,53.11,0
"22",3,"SARAIVA SA LIVREIROS EDITORES","2012",26.06,41.22,0
"23",3,"SARAIVA SA LIVREIROS EDITORES","2011",0,58.11,0
"24",3,"SARAIVA SA LIVREIROS EDITORES","2010",0,58.11,0
"25",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2017",0,0,0
"26",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2016",0,0,0
"27",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2015",0,0,0
"28",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2014",0,0,0
"29",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2013",0,0,0
"30",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2012",0,0,0
"31",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2011",0,0,0
"32",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2010",0,0,0
"33",6,"SPRINGER SA","2017",0,0,0
"34",6,"SPRINGER SA","2016",0,0,0
"35",6,"SPRINGER SA","2015",0,0,0
"36",6,"SPRINGER SA","2014",0,0,0
"37",6,"SPRINGER SA","2013",0,0,0
"38",6,"SPRINGER SA","2012",0,0,0
"39",6,"SPRINGER SA","2011",0,0,0
"40",6,"SPRINGER SA","2010",0,0,0
"41",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017",0,7.73,0
"42",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016",0,20.79,0
"43",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015",0,24.51,0
"44",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014",0,23.88,0
"45",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013",0,20.12,0
