"","Codigo","Companhia","Ano","Porcentagem.Conselheiros"
"1",1,"BANCO DO BRASIL S.A.","2017",NA
"2",1,"BANCO DO BRASIL S.A.","2016",0
"3",1,"BANCO DO BRASIL S.A.","2015",0
"4",1,"BANCO DO BRASIL S.A.","2014",1
"5",1,"BANCO DO BRASIL S.A.","2013",0
"6",1,"BANCO DO BRASIL S.A.","2012",NA
"7",1,"BANCO DO BRASIL S.A.","2011",NA
"8",2,"ALPARGATAS SA","2017",NA
"9",2,"ALPARGATAS SA","2016",0
"10",3,"SARAIVA SA LIVREIROS EDITORES","2017",NA
"11",3,"SARAIVA SA LIVREIROS EDITORES","2016",1.5
"12",3,"SARAIVA SA LIVREIROS EDITORES","2015",1.5
"13",3,"SARAIVA SA LIVREIROS EDITORES","2014",0.5
"14",3,"SARAIVA SA LIVREIROS EDITORES","2013",0
"15",3,"SARAIVA SA LIVREIROS EDITORES","2012",NA
"16",3,"SARAIVA SA LIVREIROS EDITORES","2011",NA
"17",3,"SARAIVA SA LIVREIROS EDITORES","2010",NA
"18",8,"BANCO DO ESTADO DE SERGIPE SA","2016",NA
"19",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2017",NA
"20",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2016",0
"21",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2017",NA
"22",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2016",2
"23",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2015",2
"24",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2014",4
"25",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2013",0
"26",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2012",NA
"27",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2010",NA
"28",18,"UNIPAR CARBOCLORO S.A.","2017",NA
"29",18,"UNIPAR CARBOCLORO S.A.","2016",2
"30",19,"BANCO DO ESTADO DO PARÁ S/A.","2017",NA
"31",19,"BANCO DO ESTADO DO PARÁ S/A.","2016",1
"32",19,"BANCO DO ESTADO DO PARÁ S/A.","2015",1
"33",20,"VULCABRAS|AZALEIA S.A.","2012",NA
"34",20,"VULCABRAS|AZALEIA S.A.","2011",NA
"35",20,"VULCABRAS|AZALEIA S.A.","2010",NA
"36",22,"IOCHPE-MAXION SA","2017",NA
"37",22,"IOCHPE-MAXION SA","2016",3.5
"38",22,"IOCHPE-MAXION SA","2015",0
