"","Codigo","Companhia","Ano","APC"
"1",2,"ALPARGATAS SA","2017",14800534
"2",2,"ALPARGATAS SA","2016",14800534
"3",2,"ALPARGATAS SA","2015",213540
"4",2,"ALPARGATAS SA","2014",30600568
"5",2,"ALPARGATAS SA","2013",47932034
"6",2,"ALPARGATAS SA","2012",43561277
"7",2,"ALPARGATAS SA","2011",39560070
"8",2,"ALPARGATAS SA","2010",35951900
"9",3,"SARAIVA SA LIVREIROS EDITORES","2017",483141
"10",3,"SARAIVA SA LIVREIROS EDITORES","2016",6802785
"11",3,"SARAIVA SA LIVREIROS EDITORES","2015",7163292
"12",3,"SARAIVA SA LIVREIROS EDITORES","2014",12229938
"13",3,"SARAIVA SA LIVREIROS EDITORES","2013",8067983
"14",3,"SARAIVA SA LIVREIROS EDITORES","2012",8106775
"15",3,"SARAIVA SA LIVREIROS EDITORES","2011",4073524
"16",3,"SARAIVA SA LIVREIROS EDITORES","2010",12146990
"17",4,"SERGEN SERVS GERAIS DE ENG SA","2010",6325287680
"18",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2017",818169
"19",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2016",818169
"20",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2015",818169
"21",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2014",818169
"22",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2013",818169
"23",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2012",832000
"24",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2011",832000
"25",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2010",832000
"26",6,"SPRINGER SA","2017",423
"27",6,"SPRINGER SA","2016",423
"28",6,"SPRINGER SA","2015",211244
"29",6,"SPRINGER SA","2014",12605640
"30",6,"SPRINGER SA","2013",12605640
"31",6,"SPRINGER SA","2012",12605640
"32",6,"SPRINGER SA","2011",12605640
"33",6,"SPRINGER SA","2010",12586578
"34",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017",250
