"","Codigo","Companhia","Ano","Remuneração.Média"
"1",1,"BANCO DO BRASIL S.A.","2017",2304117.28231081
"2",1,"BANCO DO BRASIL S.A.","2016",2411441.07324324
"3",1,"BANCO DO BRASIL S.A.","2015",2258985.12383784
"4",1,"BANCO DO BRASIL S.A.","2014",2130168.09872297
"5",1,"BANCO DO BRASIL S.A.","2013",1778827.51135811
"6",1,"BANCO DO BRASIL S.A.","2012",1103238.402
"7",1,"BANCO DO BRASIL S.A.","2011",1201631.53181982
"8",1,"BANCO DO BRASIL S.A.","2010",1083184.25166667
"9",2,"ALPARGATAS SA","2017",3311867.85714286
"10",2,"ALPARGATAS SA","2016",5661950
"11",2,"ALPARGATAS SA","2015",5335675
"12",2,"ALPARGATAS SA","2014",4601725
"13",2,"ALPARGATAS SA","2013",4652680
"14",2,"ALPARGATAS SA","2012",4520442.5
"15",2,"ALPARGATAS SA","2011",3933663.33333333
"16",2,"ALPARGATAS SA","2010",3368955
"17",3,"SARAIVA SA LIVREIROS EDITORES","2017",379782.543617512
"18",3,"SARAIVA SA LIVREIROS EDITORES","2016",465010.921764461
"19",3,"SARAIVA SA LIVREIROS EDITORES","2015",1420370.04
"20",3,"SARAIVA SA LIVREIROS EDITORES","2014",1892884.01032258
"21",3,"SARAIVA SA LIVREIROS EDITORES","2013",1767664.38518519
"22",3,"SARAIVA SA LIVREIROS EDITORES","2012",1772360.266
"23",3,"SARAIVA SA LIVREIROS EDITORES","2011",2020261.03833333
"24",3,"SARAIVA SA LIVREIROS EDITORES","2010",1886103.79933459
"25",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2017",224000
"26",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2016",224000
"27",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2015",224000
"28",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2014",224000
"29",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2013",224000
"30",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2012",224000
"31",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2011",272000
"32",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2010",308000
"33",6,"SPRINGER SA","2017",1194500
"34",6,"SPRINGER SA","2016",459500
"35",6,"SPRINGER SA","2015",459500
"36",6,"SPRINGER SA","2014",518800
"37",6,"SPRINGER SA","2013",433333.333333333
"38",6,"SPRINGER SA","2012",72666666.6666667
"39",6,"SPRINGER SA","2011",726666.666666667
"40",6,"SPRINGER SA","2010",240000
"41",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017",1244610.74
"42",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016",1080629.85666667
"43",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015",2672704.00666667
"44",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014",2473246.6
"45",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013",4536675.06666667
"46",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012",4635309.17833333
"47",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011",4400184.97
"48",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010",3879855.175
"49",8,"BANCO DO ESTADO DE SERGIPE SA","2017",871174.723214286
"50",8,"BANCO DO ESTADO DE SERGIPE SA","2016",646598.31375
"51",8,"BANCO DO ESTADO DE SERGIPE SA","2015",643569.217727136
"52",8,"BANCO DO ESTADO DE SERGIPE SA","2014",616638.588
"53",8,"BANCO DO ESTADO DE SERGIPE SA","2013",528367.250031564
"54",8,"BANCO DO ESTADO DE SERGIPE SA","2012",515209.072
"55",8,"BANCO DO ESTADO DE SERGIPE SA","2011",389171.776
"56",8,"BANCO DO ESTADO DE SERGIPE SA","2010",318850.656
"57",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2011",437597.266666667
"58",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2010",349905.296666667
"59",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2016",573558.085
"60",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2015",567668.833333333
"61",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2014",649544.443333333
"62",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2013",800331.905
"63",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2012",1000318
"64",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2011",153024.996247655
"65",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2010",686543.143809524
"66",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2017",739907.933333333
