"","Codigo","Companhia","Ano","Remuneração.Média","RMRankit","RMM"
"2950",556,"ATACADÃO S.A.","2017",536872204.1,468,1
"3547",665,"MONTEIRO ARANHA SA","2013",187559341.59,467,1
"1558",290,"LUPATECH S/A - EM RECUPERAÇÃO JUDICIAL","2012",176821984.5,466,1
"3510",660,"METALURGICA DUQUE SA - EM RECUPERAÇÃO JUDICIAL","2012",1.43e+08,465,0.99
"3503",659,"METALGRAFICA IGUACU SA","2016",112987200,464,0.99
"3506",659,"METALGRAFICA IGUACU SA","2013",110521776,463,0.99
"3502",659,"METALGRAFICA IGUACU SA","2017",110416666.666667,462,0.99
"1456",270,"SAFRA LEASING SA ARRENDAMENTO  MERCANTIL","2016",95238095.2380952,461,0.99
"38",6,"SPRINGER SA","2012",72666666.6666667,460,0.98
"3320",629,"FIBAM CIA INDUSTRIAL - EM RECUPERAÇÃO JUDICIAL","2012",57403670,459,0.98
"3504",659,"METALGRAFICA IGUACU SA","2015",56081792,458,0.98
"626",101,"BAUMER SA","2017",42657595,457,0.98
"2793",506,"BR TOWERS SPE1 S.A.","2014",35386848.6666667,456,0.97
"2355",428,"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A","2013",35073696.9285714,455,0.97
"3318",629,"FIBAM CIA INDUSTRIAL - EM RECUPERAÇÃO JUDICIAL","2017",31792666.6666667,454,0.97
"3162",604,"VALE S.A.","2017",29488527.6069744,453,0.97
"1955",358,"BANCO ABC BRASIL S/A","2010",29383333.3333333,452,0.97
"1924",353,"BANCO INDUSVAL S.A.","2010",23282222.2222222,451,0.96
"82",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2017",22154303.4642857,450,0.96
"3163",604,"VALE S.A.","2016",21824367.2654762,449,0.96
"1274",234,"BIOMM SA","2016",21605137.5,448,0.96
"1000",174,"KROTON EDUCACIONAL S.A.","2014",21381764.791641,447,0.96
"2277",416,"CETIP S.A. - MERCADOS ORGANIZADOS","2016",19989347.3333333,446,0.95
"3558",667,"BANCO BRADESCO S.A.","2010",19248991.394148,445,0.95
"1296",237,"ITAÚ UNIBANCO HOLDING S.A.","2017",19087306.3241107,444,0.95
"1110",196,"DTCOM - DIRECT TO COMPANY S.A.","2013",19042000,443,0.95
"351",57,"TEC TOY S/A","2017",18759300,442,0.94
"352",57,"TEC TOY S/A","2016",18007500,441,0.94
"353",57,"TEC TOY S/A","2015",18007500,440,0.94
"3556",667,"BANCO BRADESCO S.A.","2012",17871126.8057785,439,0.94
"3557",667,"BANCO BRADESCO S.A.","2011",17721639.7515528,438,0.94
"998",174,"KROTON EDUCACIONAL S.A.","2016",17204645.0025,437,0.93
"1298",237,"ITAÚ UNIBANCO HOLDING S.A.","2015",17098794.4444444,436,0.93
"1299",237,"ITAÚ UNIBANCO HOLDING S.A.","2014",16710127.7777778,435,0.93
"1297",237,"ITAÚ UNIBANCO HOLDING S.A.","2016",16687504.4133375,434,0.93
"83",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2016",16352342.9931818,433,0.93
"999",174,"KROTON EDUCACIONAL S.A.","2015",15627703.0991667,432,0.92
"945",161,"TELEFÔNICA BRASIL S.A.","2015",15552417.7933333,431,0.92
"3551",667,"BANCO BRADESCO S.A.","2017",15371555.5555556,430,0.92
"676",115,"BRF S.A.","2017",14626184.145,429,0.92
"1375",253,"SANESALTO SANEAMENTO SA","2013",14430000,428,0.91
"2118",382,"ENEVA S.A.","2012",14214734.7675774,427,0.91
"1704",319,"PDG REALTY SA EMPREENDIMENTOS E PARTS - EM RECUPERAÇÃO JUDICIAL","2017",13863475.6394278,426,0.91
"997",174,"KROTON EDUCACIONAL S.A.","2017",13850705.58375,425,0.91
"3167",604,"VALE S.A.","2012",13628378.0066667,424,0.91
"496",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2017",13612754.3411609,423,0.9
"2635",475,"BANCO BTG PACTUAL S/A","2012",13386724.7596154,422,0.9
"3552",667,"BANCO BRADESCO S.A.","2016",13337875,421,0.9
"2432",440,"PETRO RIO S.A.","2012",13328440.1333333,420,0.9
"969",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2013",12585885.3333333,419,0.9
"3553",667,"BANCO BRADESCO S.A.","2015",12339493.9759036,418,0.89
"2801",508,"RAÍZEN ENERGIA S.A.","2017",12332329.7804762,417,0.89
"2836",515,"CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA","2017",12302683.2333333,416,0.89
"499",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2014",12212058.3766478,415,0.89
"3168",604,"VALE S.A.","2011",11998031.7460317,414,0.88
"1347",249,"NATURA COSMETICOS SA","2017",11900690,413,0.88
"3555",667,"BANCO BRADESCO S.A.","2013",11734909.0909091,412,0.88
"1488",276,"BR MALLS PARTICIPAÇOES S.A.","2012",11526634.2857143,411,0.88
"3135",600,"CIA SIDERURGICA NACIONAL","2015",11522974.9192721,410,0.88
"3554",667,"BANCO BRADESCO S.A.","2014",11354986.267166,409,0.87
"2803",508,"RAÍZEN ENERGIA S.A.","2015",11258995.4259524,408,0.87
"220",35,"FIBRIA CELULOSE S.A.","2015",11205129.3994444,407,0.87
"2162",392,"HYPERA S/A","2016",11200127.3139108,406,0.87
"1745",0,"BANCO SANTANDER (BRASIL) S.A.","2014",11145368.6868687,405,0.87
"677",115,"BRF S.A.","2016",11125548.1092222,404,0.86
"2802",508,"RAÍZEN ENERGIA S.A.","2016",11039459.3692857,403,0.86
"1489",276,"BR MALLS PARTICIPAÇOES S.A.","2011",11006429.825,402,0.86
"3169",604,"VALE S.A.","2010",10899557.3727273,401,0.86
"3164",604,"VALE S.A.","2015",10838206.303,400,0.85
"1300",237,"ITAÚ UNIBANCO HOLDING S.A.","2013",10821016.6666667,399,0.85
"497",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2016",10784687.3275531,398,0.85
