"","Codigo","Companhia","Ano","Diretor","Percentual.de.Ações"
"1",4,"SERGEN SERVS GERAIS DE ENG SA","2010","Antonio de Padua Coimbra Tavares Pais","30.525400"
"2",6,"SPRINGER SA","2017","WALTER SACCA","0.180000"
"3",6,"SPRINGER SA","2016","WALTER SACCA","0.180000"
"4",6,"SPRINGER SA","2015","WALTER SACCA","0.180000"
"5",6,"SPRINGER SA","2014","WALTER SACCA","0.180000"
"6",6,"SPRINGER SA","2013","WALTER SACCA","0.180000"
"7",6,"SPRINGER SA","2012","WALTER SACCA","0.080000"
"8",6,"SPRINGER SA","2011","WALTER SACCA","0.080000"
"9",6,"SPRINGER SA","2010","WALTER SACCA","0.080000"
"10",6,"SPRINGER SA","2017","WALTER SACCA","0.180000"
"11",6,"SPRINGER SA","2016","WALTER SACCA","0.180000"
"12",6,"SPRINGER SA","2015","WALTER SACCA","0.180000"
"13",6,"SPRINGER SA","2014","WALTER SACCA","0.180000"
"14",6,"SPRINGER SA","2013","WALTER SACCA","0.180000"
"15",6,"SPRINGER SA","2012","WALTER SACCA","0.080000"
"16",6,"SPRINGER SA","2011","WALTER SACCA","0.080000"
"17",6,"SPRINGER SA","2010","WALTER SACCA","0.080000"
"18",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017","WILSON LEMOS DE MORAES JUNIOR","0.003000"
"19",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"20",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"21",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"22",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"23",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"24",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"25",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"26",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017","WILSON LEMOS DE MORAES JUNIOR","0.003000"
"27",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"28",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"29",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"30",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"31",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"32",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"33",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"34",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017","WILSON LEMOS DE MORAES JUNIOR","0.003000"
"35",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"36",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"37",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"38",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"39",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"40",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"41",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"42",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017","WILSON LEMOS DE MORAES JUNIOR","0.003000"
"43",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"44",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"45",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"46",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"47",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"48",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"49",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"50",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017","WILSON LEMOS DE MORAES JUNIOR","0.003000"
"51",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"52",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015","WILSON LEMOS DE MORAES JUNIOR","0.003047"
"53",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014","WILSON LEMOS DE MORAES JUNIOR","0.003047"
