"","Codigo","Companhia","Ano","Diretor","Tempo.de.Mandato..Anos."
"1",1,"BANCO DO BRASIL S.A.","2017","Paulo Rogério Caffarelli",2
"2",1,"BANCO DO BRASIL S.A.","2016","Paulo Rogério Caffarelli",2
"3",1,"BANCO DO BRASIL S.A.","2015","Alexandre Corrêa Abreu",1
"4",1,"BANCO DO BRASIL S.A.","2014","Alexandre Corrêa de Abreu",2
"5",1,"BANCO DO BRASIL S.A.","2013","Alexandre Corrêa de Abreu",2
"6",1,"BANCO DO BRASIL S.A.","2012","ALDEMIR BENDINE",3
"7",1,"BANCO DO BRASIL S.A.","2011","ALDEMIR BENDINE",3
"8",1,"BANCO DO BRASIL S.A.","2010","ALDEMIR BENDINE",3
"9",2,"ALPARGATAS SA","2017","Marcio Utsch",8
"10",2,"ALPARGATAS SA","2016","Marcio Utsch",8
"11",2,"ALPARGATAS SA","2015","Marcio Utsch",8
"12",2,"ALPARGATAS SA","2014","Marcio Utsch",8
"13",2,"ALPARGATAS SA","2013","Marcio Utsch",8
"14",2,"ALPARGATAS SA","2012","Marcio Utsch",8
"15",2,"ALPARGATAS SA","2011","Marcio Utsch",8
"16",2,"ALPARGATAS SA","2010","Marcio Utsch",8
"17",3,"SARAIVA SA LIVREIROS EDITORES","2017","Jorge Saraiva Neto",7
"18",3,"SARAIVA SA LIVREIROS EDITORES","2016","Jorge Saraiva Neto",7
"19",3,"SARAIVA SA LIVREIROS EDITORES","2015","Jorge Saraiva Neto",7
"20",3,"SARAIVA SA LIVREIROS EDITORES","2014","Jorge Saraiva Neto",7
"21",3,"SARAIVA SA LIVREIROS EDITORES","2013","Jorge Saraiva Neto",7
"22",3,"SARAIVA SA LIVREIROS EDITORES","2012","Jorge Saraiva Neto",7
"23",3,"SARAIVA SA LIVREIROS EDITORES","2011","Jorge Saraiva Neto",7
"24",3,"SARAIVA SA LIVREIROS EDITORES","2010","José Luiz Machado Alvim de Próspero",1
"25",4,"SERGEN SERVS GERAIS DE ENG SA","2010","Antonio de Padua Coimbra Tavares Pais",1
"26",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2017","JAIME ROTSTEIN",8
"27",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2016","JAIME ROTSTEIN",8
"28",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2015","JAIME ROTSTEIN",8
"29",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2014","JAIME ROTSTEIN",8
"30",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2013","JAIME ROTSTEIN",8
"31",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2012","JAIME ROTSTEIN",8
"32",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2011","JAIME ROTSTEIN",8
"33",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2010","JAIME ROTSTEIN",8
"34",6,"SPRINGER SA","2017","WALTER SACCA",2
"35",6,"SPRINGER SA","2016","WALTER SACCA",2
"36",6,"SPRINGER SA","2015","Walter Sacca",6
"37",6,"SPRINGER SA","2014","Walter Sacca",6
"38",6,"SPRINGER SA","2013","Walter Sacca",6
"39",6,"SPRINGER SA","2012","Walter Sacca",6
"40",6,"SPRINGER SA","2011","Walter Sacca",6
"41",6,"SPRINGER SA","2010","Walter Sacca",6
