"","Código","Companhia","Ano","NIV","Management.Council","Statutory.Directors","Fiscal.Council","APC","RM","RMRANKIT","POEDIRECTOR","PO","AMDIRECTOR","AM","SIZE"
"1",1,"BANCO DO BRASIL S.A.","2017",1,0,0,0,0,2304117.28,432,"",0,"781",2,21.0374933198639
"2",1,"BANCO DO BRASIL S.A.","2016",1,0,0,0,0,2411441.07,29,"",0,"781",2,21.0607211430536
"3",1,"BANCO DO BRASIL S.A.","2015",1,0,0,0,0,2258985.12,407,"",0,"19",1,21.0605440037187
"4",1,"BANCO DO BRASIL S.A.","2014",1,0,0,0,0,2130168.1,356,"",0,"20",2,21.0861612519763
"5",1,"BANCO DO BRASIL S.A.","2013",1,0,0,0,0,1778827.51,139,"",0,"20",2,20.9886372086085
"6",1,"BANCO DO BRASIL S.A.","2012",1,0,0,0,0,1103238.4,98,"",0,"14",3,20.8634504630217
"7",1,"BANCO DO BRASIL S.A.","2011",1,0,0,0,0,1201631.53,187,"",0,"14",3,20.7043173499086
"8",1,"BANCO DO BRASIL S.A.","2010",1,0,40.32,0,0,1083184.25,86,"",0,"14",3,20.5139909298593
"9",2,"ALPARGATAS SA","2017",0,0,10.79,0,14800534,3311867.86,343,"",0,"628",8,15.164480446929
"10",2,"ALPARGATAS SA","2016",0,0,37.67,0,14800534,5661950,212,"",0,"628",8,15.145777277445
"11",2,"ALPARGATAS SA","2015",0,0,48.43,0,213540,5335675,185,"",0,"628",8,15.1408519621216
"12",2,"ALPARGATAS SA","2014",0,0,52.02,0,30600568,4601725,116,"",0,"628",8,15.1092964607901
"13",2,"ALPARGATAS SA","2013",0,0,31.78,0,47932034,4652680,121,"",0,"628",8,15.0280418338674
"14",2,"ALPARGATAS SA","2012",0,0,26.53,0,43561277,4520442.5,98,"",0,"628",8,14.8237345013712
"15",2,"ALPARGATAS SA","2011",0,0,30.51,0,39560070,3933663.33,7,"",0,"628",8,14.7085547711501
"16",2,"ALPARGATAS SA","2010",0,0,37.23,0,35951900,3368955,359,"",0,"628",8,14.6249298555399
"17",3,"SARAIVA SA LIVREIROS EDITORES","2017",0,0,0,0,483141,379782.54,99,"",0,"439",7,0
"18",3,"SARAIVA SA LIVREIROS EDITORES","2016",0,0,0,0,6802785,465010.92,208,"",0,"439",7,0
"19",3,"SARAIVA SA LIVREIROS EDITORES","2015",0,0,61.85,0,7163292,1420370.04,353,"",0,"439",7,0
"20",3,"SARAIVA SA LIVREIROS EDITORES","2014",0,0,54.37,0,12229938,1892884.01,227,"",0,"439",7,0
"21",3,"SARAIVA SA LIVREIROS EDITORES","2013",0,0,53.11,0,8067983,1767664.39,130,"",0,"439",7,0
"22",3,"SARAIVA SA LIVREIROS EDITORES","2012",0,26.06,41.22,0,8106775,1772360.27,134,"",0,"439",7,0
"23",3,"SARAIVA SA LIVREIROS EDITORES","2011",0,0,58.11,0,4073524,2020261.04,304,"",0,"439",7,0
"24",3,"SARAIVA SA LIVREIROS EDITORES","2010",0,0,58.11,0,12146990,1886103.8,225,"",0,"481",1,0
"25",4,"SERGEN SERVS GERAIS DE ENG SA","2010",0,0,0,0,6325287680,0,0,"10",1,"81",1,12.3649034550167
"26",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2017",0,0,0,0,818169,224000,338,"",1,"395",8,11.2940353549356
"27",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2016",0,0,0,0,818169,224000,337,"",1,"395",8,11.2773423622624
"28",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2015",0,0,0,0,818169,224000,336,"",1,"395",8,11.3819394016734
"29",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2014",0,0,0,0,818169,224000,335,"",1,"395",8,11.5416878336379
"30",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2013",0,0,0,0,818169,224000,334,"",1,"395",8,11.7551184188016
"31",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2012",0,0,0,0,832000,224000,333,"",1,"395",8,12.3094817584395
"32",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2011",0,0,0,0,832000,272000,405,"",1,"395",8,11.4422239917972
"33",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2010",0,0,0,0,832000,308000,6,"",1,"395",8,11.3255953864452
"34",6,"SPRINGER SA","2017",0,0,0,0,423,1194500,183,"133",0,"998",2,10.7981255467148
"35",6,"SPRINGER SA","2016",0,0,0,0,423,459500,201,"133",0,"998",2,11.1940278853655
"36",6,"SPRINGER SA","2015",0,0,0,0,211244,459500,200,"133",0,"997",6,11.4237116644254
"37",6,"SPRINGER SA","2014",0,0,0,0,12605640,518800,280,"133",0,"997",6,11.7604493850098
"38",6,"SPRINGER SA","2013",0,0,0,0,12605640,433333.33,163,"133",0,"997",6,11.8453609936092
"39",6,"SPRINGER SA","2012",0,0,0,0,12605640,72666666.67,460,"133",0,"997",6,12.0387894437126
"40",6,"SPRINGER SA","2011",0,0,0,0,12605640,726666.67,118,"133",0,"997",6,12.2401116877536
"41",6,"SPRINGER SA","2010",0,0,0,0,12586578,240000,355,"133",0,"997",6,11.900538841547
"42",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017",0,0,7.73,0,250,1244610.74,219,"134",0,"265",1,0
"43",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016",0,0,20.79,0,73545,1080629.86,83,"134",0,"266",1,0
"44",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015",0,0,24.51,0,105450,2672704.01,147,"134",0,"323",1,0
"45",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014",0,0,23.88,0,50135,2473246.6,58,"134",1,"1006",5,0
"46",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013",0,0,20.12,0,24171,4536675.07,99,"134",1,"1006",5,0
"47",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012",0,0,25.97,0,10027,4635309.18,119,"134",1,"1006",5,0
"48",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011",0,0,26.36,0,10277,4400184.97,83,"134",0,"1006",5,0
"49",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010",0,0,29.75,0,10327,3879855.17,1,"134",0,"1006",5,0
"50",8,"BANCO DO ESTADO DE SERGIPE SA","2017",0,33.56,4.79,0,0,871174.72,293,"",0,"304",6,0
"51",8,"BANCO DO ESTADO DE SERGIPE SA","2016",0,0,0,0,0,646598.31,8,"",0,"304",6,0
"52",8,"BANCO DO ESTADO DE SERGIPE SA","2015",0,19.16,2.62,0,0,643569.22,3,"",0,"304",6,0
"53",8,"BANCO DO ESTADO DE SERGIPE SA","2014",0,6.4,0.66,0,0,616638.59,402,"",0,"304",6,0
"54",8,"BANCO DO ESTADO DE SERGIPE SA","2013",0,0,0,0,0,528367.25,294,"",0,"304",6,0
"55",8,"BANCO DO ESTADO DE SERGIPE SA","2012",0,0,0,0,0,515209.07,272,"",0,"304",6,0
"56",8,"BANCO DO ESTADO DE SERGIPE SA","2011",0,0,0,0,0,389171.78,110,"",0,"985",2,0
"57",8,"BANCO DO ESTADO DE SERGIPE SA","2010",0,0,0,0,0,318850.66,20,"",0,"985",2,0
"58",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2017",0,0,0,0,0,0,0,"",0,"",0,12.3220006283061
"59",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2016",0,0,0,0,0,0,0,"",0,"",0,12.402399830685
"60",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2015",0,0,0,0,0,0,0,"",0,"",0,12.3926766860534
"61",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2014",0,0,0,0,0,0,0,"",0,"",0,12.3355426769812
"62",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2013",0,0,0,0,0,0,0,"",0,"",0,12.261005807555
"63",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2012",0,0,0,0,0,0,0,"",0,"",0,11.9365447836584
