"","company.name","company.code"
"1","BANCO DO BRASIL S.A.",1023
"2","ALPARGATAS SA",10456
"3","SARAIVA SA LIVREIROS EDITORES",10472
"4","SERGEN SERVS GERAIS DE ENG SA",10596
"5","SONDOTECNICA ENGENHARIA DE SOLOS S/A.",10880
"6","SPRINGER SA",10960
"7","WLM INDÚSTRIA E COMÉRCIO S.A.",11070
"8","BANCO DO ESTADO DE SERGIPE SA",1120
"9","TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL",11207
"10","TECBLU - TECELAGEM BLUMENAU S/A.",11215
"11","TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL",11223
"12","TEKNO S.A. INDÚSTRIA E COMÉRCIO",11231
"13","TELEC. BRASILEIRAS S.A. - TELEBRÁS",11258
"14","OI S.A. - EM RECUPERAÇÃO JUDICIAL",11312
"15","TELEMAR NORTE LESTE SA",11320
"16","CRISTAL PIGMENTOS DO BRASIL S.A.",11398
"17","BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO",1155
"18","UNIPAR CARBOCLORO S.A.",11592
"19","BANCO DO ESTADO DO PARÁ S/A.",1171
"20","VULCABRAS|AZALEIA S.A.",11762
"21","WEMBLEY SOCIEDADE ANÔNIMA",11800
"22","IOCHPE-MAXION SA",11932
"23","AZEVEDO & TRAVASSOS SA",11975
"24","WETZEL S.A. EM RECUPERAÇÃO JUDICIAL",11991
"25","BANCO DO ESTADO DO RIO GRANDE DO SUL SA",1210
"26","BOMBRIL SA",12190
"27","COSTA PINTO S.A.",12220
"28","JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.",12262
"29","BANCO DO NORDESTE DO BRASIL SA",1228
"30","INDS J B DUARTE SA",12319
"31","ITAUTEC S.A. - GRUPO ITAUTEC",12530
"32","RECRUSUL SA",12572
"33","KLABIN S.A.",12653
"34","SANSUY SA INDÚSTRIA  DE PLASTICOS",12696
"35","FIBRIA CELULOSE S.A.",12793
"36","SIDERURGICA J L ALIPERTI SA",12823
"37","RIMET EMPREEND. INDS. E COMERCIAIS S/A",12840
"38","CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL",13030
"39","BANCO MERCANTIL DE INVESTIMENTOS S.A.",1309
"40","BANCO MERCANTIL BRASIL SA",1325
"41","JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP",13285
"42","HAGA S.A. INDÚSTRIA E COMÉRCIO",13366
"43","ÉVORA S.A.",13412
"44","METALURGICA RIOSULENSE SA",13439
"45","POLPAR S.A.",13447
"46","PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A",13471
"47","MINUPAR PARTICIPACOES SA",13765
"48","PBG S/A",13773
"49","SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A",13781
"50","BANCO ALFA DE INVESTIMENTO SA",1384
"51","CEMEPE INVESTIMENTOS SA",13854
"52","SUZANO PAPEL E CELULOSE SA",13986
"53","YARA BRASIL FERTILIZANTES",140
"54","VALE FERTILIZANTES S.A.",14028
"55","BFB LEASING S.A. ARRENDAMENTO MERCANTIL",14052
"56","RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES",14109
"57","TEC TOY S/A",14133
"58","ELETROPAULO METROPOLITANA EL.S.PAULO S.A",14176
"59","BRB-BANCO DE BRASILIA SA",14206
"60","DIBENS LEASING S.A.- ARREND. MERCANTIL",14214
"61","SNB PARTICIPACOES SA",14303
"62","COMPANHIA PARANAENSE DE ENERGIA",14311
"63","USINAS SIDERURGICAS DE MINAS GERAIS SA",14320
"64","WHIRLPOOL S.A",14346
"65","CIA ENERGÉTICA DE PERNAMBUCO - CELPE",14362
"66","WIEST SA",NA
"67","CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO",14443
"68","COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB",14451
"69","CYRELA BRAZIL REALTY SA EMPRS E PARTS",14460
"70","CIA ELETRICIDADE DA BAHIA",14524
"71","VBC ENERGIA SA",14540
"72","M&G POLIÉSTER SA",14559
"73","ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.",14605
"74","NEUMARKT TRADE AND FINANCIAL CENTER S/A",14613
"75","NET SERVIÇOS DE COMUNICAÇÃO S.A.",14621
"76","SCHULZ SA",14664
"77","PARCOM PARTICIPACOES SA",14680
"78","CIA HERING",14761
"79","FORPART S.A. - EM LIQUIDAÇÃO",14796
"80","CIMS SA",14818
"81","COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO",14826
"82","HAUSCENTER SA",14850
"83","CIA ENERG CEARA - COELCE",14869
"84","GTD PARTICIPACOES SA",14915
"85","SANTHER FAB.DE PAPEL SANTA THEREZINHA SA",14923
"86","DIXIE TOGA SA",14931
"87","LITEL PARTICIPACOES SA",15091
"88","CCB BRASIL ARRENDAMENTO MERCANTIL S/A",15121
"89","BARDELLA SA INDS MECANICAS",1520
"90","ENERGISA SA",15253
"91","SAUIPE SA",15261
"92","RUMO MALHA NORTE S.A.",15300
"93","BOMBRIL HOLDING SA",15334
"94","ESPIRITO SANTO CENTRAIS ELETRICAS SA",15342
"95","FERROVIA CENTRO ATLANTICA SA",15369
"96","HOPI HARI SA",15377
"97","TERMINAIS PORT. DA PONTA DO FÉLIX S/A",15407
"98","ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",15423
"99","BATTISTELLA ADM E PARTICIPAÇÕES S A",15458
"100","NEOENERGIA S.A",15539
"101","BAUMER SA",1562
"102","COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS",15636
"103","GRUÇAI PARTICIPAÇÕES SA",15695
"104","EXCELSIOR ALIMENTOS SA.",1570
"105","RUMO MALHA SUL S.A.",15709
"106","SHOPPING CENTER TACARUNA SA",15733
"107","ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR",15784
"108","ITAITINGA PARTICIPACOES SA",15865
"109","GAFISA SA",16101
"110","AMERICEL SA",16195
"111","ELETRON SA",16209
"112","VALETRON SA",16225
"113","BELAPART SA",16233
"114","524 PARTICIPAÇOES SA",16284
"115","BRF S.A.",16292
"116","ROSSI RESIDENCIAL SA",16306
"117","521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL",16330
"118","CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE",16373
"119","TAM S.A.",16390
"120","SUL 116 PARTICIPAÇÕES S.A.",16438
"121","NUMERAL 80 PARTICIPAÇÕES S.A.",16446
"122","EMP.NAC. DE COMÉRCIO, RÉDITO E PART. S.A. - ENCORPAR",16497
"123","RGE SUL DISTRIBUIDORA DE ENERGIA S.A.",16527
"124","RIO GRANDE ENERGIA SA",16535
"125","WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.",16551
"126","BONAIRE PARTICIPAÇOES SA",16560
"127","SUDESTE SA",16586
"128","COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR",16608
"129","CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO",16616
"130","UPTICK PARTICIPACOES SA",16624
"131","GPC PARTICIPACOES SA",16632
"132","PORTO SEGURO SA",16659
"133","LIGA FUTEBOL SA",16691
"134","ALEF SA",16705
"135","INEPAR ENERGIA SA",16730
"136","BNDES PARTICIPAÇÕES S.A. - BNDESPAR",16772
"137","PRÓ METALURGIA SA - EM LIQUIDAÇÃO EXTRAJUDICIAL",1686
"138","CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN",16861
"139","BICICLETAS MONARK SA",1694
"140","OPPORTUNITY ENERGIA E PARTICIPAÇÕES S.A.",16942
"141","DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO",16950
"142","EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.",16985
"143","EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A",16993
"144","ENGIE BRASIL ENERGIA S.A.",17329
"145","RET PARTICIPAÇÕES S/A",17337
"146","ZAIN PARTICIPAÇÕES S/A",17361
"147","FUTURETEL SA",17388
"148","TELINVEST SA",17418
"149","LONGDIS SA",17434
"150","LF TEL SA",17442
"151","RUMO S.A.",17450
"152","ELEKTRO REDES S.A.",17485
"153","CAPITALPART PARTICIPAÇÕES SA",17493
"154","NEWTEL PARTICIPACOES SA",17540
"155","INNCORP S.A.",17558
"156","CONCES DA ROD OSÓRIO-POA S/A - CONCEPA",17590
"157","TELE NORTE CELULAR PARTICIPAÇÕES SA",17604
"158","TIM PARTICIPAÇÕES SA",17639
"159","EMBRATEL PARTICIPAÇÕES SA",17647
"160","TELE NORTE LESTE PARTICIPAÇÕES SA",17655
"161","TELEFÔNICA BRASIL S.A.",17671
"162","VIVO PARTICIPAÇÕES SA",17710
"163","CBCC PARTICIPAÇÕES SA",NA
"164","MAORI SA",17779
"165","SUBESTAÇÃO ELETROMETRÔ S/A",17787
"166","BETAPART PARTICIPAÇÕES SA",17884
"167","SANTOS BRASIL PARTICIPAÇÕES S.A.",17892
"168","PEARSON SISTEMAS DO BRASIL S.A.",NA
"169","MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL",17914
"170","BRAZILIAN FINANCE & REAL ESTATE S.A.",17922
"171","RUMO MALHA PAULISTA S.A.",17930
"172","MRS LOGÍSTICA S/A",17949
"173","GAMA PARTICIPAÇÕES S.A.",17965
"174","KROTON EDUCACIONAL S.A.",17973
"175","ALTERE SECURITIZADORA S.A.",18066
"176","ALIUM PARTICIPAÇÕES SA",18082
"177","AETATIS SECURITIZADORA S.A.",18104
"178","COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV",18112
"179","CIA ENERGÉTICA DO RIO GRANDE DO NORTE",18139
"180","PÁTRIA COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS",18236
"181","RASIP AGRO PASTORIL SA",18279
"182","CIBRASEC CIA BRASILEIRA DE SECURITIZAÇÃO",18287
"183","CENTRAIS ELÉTRICAS DO PARÁ S.A. - CELPA",18309
"184","PROMPT PARTICIPAÇÕES S.A.",18333
